nazwa_cwiczenia,nazwa_angielska,zrodlo,kategoria,poziom_trudnosci,pozycja_wyjsciowa,potrzebny_sprzet,liczba_powtorzen,czas_trwania_sekund,strony_ciala,ruch_glowny,wspomagane_krzeslem,mozna_w_lozku,mozna_siedzac,wymaga_stania,wymaga_podlogi,zalecane_schorzenia,przeciwwskazania,cel_terapeutyczny,wplyw_na_rownowage,wplyw_na_sile,wplyw_na_elastycznosc,wplyw_na_kardio,wplyw_na_postawe,intensywnosc,uwagi_bezpieczenstwa,opis_wykonania
Ściskanie dłoni – piłka,Hand Grip,workout_to_go.pdf,siła,łatwy,stojąca lub siedząca,piłka tenisowa,10-15,3-5 sek na powtórzenie,dłonie i przedramiona,ściskanie piłki,nie,nie,tak,nie,nie,zapalenie stawów,,wzmocnienie chwytu,niski,wysoki,niski,niski,niski,bardzo niska,Zwalniać ścisk powoli,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Przygotuj sprzęt: piłka tenisowa. Następnie wykonuj ruch główny: ściskanie piłki. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 3-5 sek na powtórzenie sekund. Zwróć uwagę na bezpieczeństwo: Zwalniać ścisk powoli. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pompki przy ścianie (NIH),Wall Push-Up,workout_to_go.pdf,siła,łatwy,stojąca,ściana,10-15,1 sek przerwa,"klatka piersiowa, ramiona",odpychanie od ściany,nie,nie,nie,tak,nie,słabe ramiona,,wzmocnienie górnej części ciała,niski,wysoki,niski,niski,niski,niska,Stopy płasko na podłodze,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana. Następnie wykonuj ruch główny: odpychanie od ściany. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 1 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Stopy płasko na podłodze. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie ramion nad głowę,Overhead Arm Raise,workout_to_go.pdf,siła,łatwy,stojąca lub siedząca,ciężarki lub puszki,10-15,1 sek przerwa,ramiona i barki,unoszenie oburącz,nie,nie,tak,nie,nie,słabe ramiona,,wzmocnienie barków,niski,wysoki,niski,niski,niski,niska,Łokcie lekko ugięte,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Przygotuj sprzęt: ciężarki lub puszki. Następnie wykonuj ruch główny: unoszenie oburącz. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 1 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Łokcie lekko ugięte. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nogi w tył (NIH),Back Leg Raise,workout_to_go.pdf,siła,łatwy,stojąca,krzesło,10-15,1 sek przerwa,"pośladki, dolna część pleców",prostowanie nogi w tył,tak,nie,nie,tak,nie,słabe pośladki,,wzmocnienie pośladków,niski,wysoki,niski,niski,niski,niska,Noga stojąca lekko ugięta,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: prostowanie nogi w tył. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 1 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Noga stojąca lekko ugięta. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nogi w bok (NIH),Side Leg Raise,workout_to_go.pdf,siła,łatwy,stojąca,krzesło,10-15,1 sek przerwa,biodra,odwodzenie nogi,tak,nie,nie,tak,nie,słabe biodra,,wzmocnienie bioder,niski,wysoki,niski,niski,niski,niska,Plecy proste przez cały czas,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: odwodzenie nogi. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 1 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Plecy proste przez cały czas. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wspięcie na palce,Toe Stand,workout_to_go.pdf,siła_równowaga,łatwy,stojąca,krzesło,10-15,1 sek przerwa,łydki,wspięcie na palce,tak,nie,nie,tak,nie,słabe łydki; profilaktyka upadków,,wzmocnienie łydek i równowaga,wysoki,wysoki,niski,niski,niski,niska,Progresja: stanie na jednej nodze,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: wspięcie na palce. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 1 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Progresja: stanie na jednej nodze. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Stanie na jednej nodze (NIH),Stand on One Foot,workout_to_go.pdf,równowaga,łatwy,stojąca,krzesło,10-15,10,"nogi, tułów",balans jednopodporowy,tak,nie,nie,tak,nie,profilaktyka upadków,,równowaga statyczna,wysoki,średni,niski,niski,niski,niska,Progresja: bez trzymania; z zamkniętymi oczami,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: balans jednopodporowy. Wykonaj około 10-15 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 10 sekund. Zwróć uwagę na bezpieczeństwo: Progresja: bez trzymania; z zamkniętymi oczami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Chód pięta-palec (NIH),Heel-to-Toe Walk,workout_to_go.pdf,równowaga_chód,łatwy,stojąca,ściana opcjonalnie,20 kroków,,nogi,chód tandemowy,nie,nie,nie,tak,nie,profilaktyka upadków,,równowaga dynamiczna,wysoki,niski,niski,niski,niski,niska,Skupić wzrok na punkcie z przodu,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana opcjonalnie. Następnie wykonuj ruch główny: chód tandemowy. Wykonaj około 20 kroków powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Skupić wzrok na punkcie z przodu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Chód równoważny,Balance Walk,workout_to_go.pdf,równowaga_chód,średni,stojąca,brak,20 kroków,,nogi,chód z pauzą,nie,nie,nie,tak,nie,profilaktyka upadków,,równowaga dynamiczna,wysoki,niski,niski,niski,niski,niska,Progresja: patrzeć na boki (nie przy problemach z uchem),"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: chód z pauzą. Wykonaj około 20 kroków powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Progresja: patrzeć na boki (nie przy problemach z uchem). Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie kostek,Ankles,workout_to_go.pdf,elastyczność,łatwy,siedząca,krzesło,3-5,10-30,"kostki, stopy",zginanie grzbietowe i podeszwowe,tak,nie,tak,nie,nie,ból kostek; słabe kostki,,poprawa ruchomości kostek,niski,niski,wysoki,niski,niski,bardzo niska,Pięty na podłodze,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: zginanie grzbietowe i podeszwowe. Wykonaj około 3-5 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 10-30 sekund. Zwróć uwagę na bezpieczeństwo: Pięty na podłodze. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie pleców (skręt),Back Stretch,workout_to_go.pdf,elastyczność,łatwy,siedząca,krzesło z podłokietnikami,3-5,10-30,plecy i talia,skręt tułowia,tak,nie,tak,nie,nie,napięcie pleców,po operacji biodra lub pleców – konsultacja z lekarzem,poprawa ruchomości kręgosłupa,niski,niski,wysoki,niski,niski,bardzo niska,Nie ruszać biodrami podczas skrętu,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło z podłokietnikami. Następnie wykonuj ruch główny: skręt tułowia. Wykonaj około 3-5 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 10-30 sekund. Zwróć uwagę na bezpieczeństwo: Nie ruszać biodrami podczas skrętu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie ud,Thigh Stretch,workout_to_go.pdf,elastyczność,łatwy,stojąca,krzesło,3-5,10-30,uda i czworogłowy,przyciąganie pięty do pośladka,tak,nie,nie,tak,nie,napięcie ud,po operacji biodra lub pleców – konsultacja z lekarzem,rozciągnięcie czworogłowego,niski,niski,wysoki,niski,niski,bardzo niska,Użyć ręcznika jeśli nie dosięga się kostki,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: przyciąganie pięty do pośladka. Wykonaj około 3-5 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 10-30 sekund. Zwróć uwagę na bezpieczeństwo: Użyć ręcznika jeśli nie dosięga się kostki. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie boczne w górę,Overhead Side Stretch,Best-Mobility-Exercises-for-Seniors.pdf,elastyczność_mobilność,łatwy,stojąca,brak,3 na stronę,15-30,"talia, boki tułowia",skłon boczny z rękami nad głową,nie,nie,nie,tak,nie,napięcie tułowia,,ruchomość boczna,niski,niski,wysoki,niski,niski,bardzo niska,Spleść palce dla głębszego rozciągania,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: skłon boczny z rękami nad głową. Wykonaj około 3 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 15-30 sekund. Zwróć uwagę na bezpieczeństwo: Spleść palce dla głębszego rozciągania. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wchodzenie po schodach,Stair Climbing,Best-Mobility-Exercises-for-Seniors.pdf,kardio_mobilność,średni,stojąca,schody lub stopień,,,nogi,wchodzenie i schodzenie,nie,nie,nie,tak,nie,słaba kondycja; słabe nogi,zawroty głowy; niestabilność,kardio i siła nóg,średni,wysoki,niski,wysoki,niski,niska,Trzymać się poręczy,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: schody lub stopień. Następnie wykonuj ruch główny: wchodzenie i schodzenie. Zwróć uwagę na bezpieczeństwo: Trzymać się poręczy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Stukanie stopą,Foot Taps,Best-Mobility-Exercises-for-Seniors.pdf,równowaga_mobilność,łatwy,stojąca,stopień lub platforma; krzesło opcjonalnie,15-20 na nogę,,"stopy, łydki, biodra",dotykanie stopniem palcem stopy,opcjonalnie,nie,nie,tak,nie,słaba równowaga; słabe kostki,,poprawa równowagi i mobilności,wysoki,średni,niski,niski,niski,niska,Im wolniej tym trudniej dla równowagi,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: stopień lub platforma; krzesło opcjonalnie. Następnie wykonuj ruch główny: dotykanie stopniem palcem stopy. Wykonaj około 15-20 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Im wolniej tym trudniej dla równowagi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pompki na kolanach,Knee Push-ups,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,klęcząca,brak,10-15 (2-3 serie),,klatka piersiowa i triceps,pompki z kolanami na podłodze,nie,nie,nie,nie,tak,słabe ramiona,,wzmocnienie górnej części ciała,niski,wysoki,niski,niski,niski,niska,Plecy proste; nie garbić się,"Przyjmij pozycję wyjściową: klęcząca. Następnie wykonuj ruch główny: pompki z kolanami na podłodze. Wykonaj około 10-15 (2-3 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Plecy proste; nie garbić się. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Uginanie bicepsa,Bicep Curl,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,stojąca,hantle lub ciężarki,10-20 (1-2 serie),,bicepsy,uginanie ramion z ciężarkami,nie,nie,nie,tak,nie,słabe ramiona,,wzmocnienie bicepsów,niski,wysoki,niski,niski,niski,niska,Wolny ruch powrotny = większa praca mięśni,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: hantle lub ciężarki. Następnie wykonuj ruch główny: uginanie ramion z ciężarkami. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wolny ruch powrotny = większa praca mięśni. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Mostek (biodra w górę),Bridges,Best-Mobility-Exercises-for-Seniors.pdf,siła_mobilność,łatwy,leżąca na plecach,brak,10-20 (1-2 serie),,pośladki i dolna część pleców,unoszenie bioder,nie,tak,nie,nie,tak,ból dolnych pleców; słabe pośladki,,wzmocnienie pośladków i pleców,niski,wysoki,niski,niski,średni,niska,Brzuch napięty przez cały czas,"Przyjmij pozycję wyjściową: leżąca na plecach. Następnie wykonuj ruch główny: unoszenie bioder. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Brzuch napięty przez cały czas. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wspinaczka górska w miejscu,Standing Mountain Climber,Best-Mobility-Exercises-for-Seniors.pdf,kardio_siła,średni,stojąca,brak,do 1 minuty,,nogi i ramiona,naprzemienne unoszenie kolana z uniesieniem ramienia,nie,nie,nie,tak,nie,słaba kondycja,,kardio i koordynacja,niski,średni,niski,wysoki,niski,niska,Tempo dostosowane do możliwości,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: naprzemienne unoszenie kolana z uniesieniem ramienia. Wykonaj około do 1 minuty powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Tempo dostosowane do możliwości. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Superman,The Superman,Best-Mobility-Exercises-for-Seniors.pdf,siła_postura,średni,leżąca na brzuchu,brak,10-20 (1-2 serie),,plecy i pośladki,unoszenie ramienia i przeciwległej nogi,nie,nie,nie,nie,tak,ból pleców,,wzmocnienie pleców i stabilizacja,niski,wysoki,niski,niski,wysoki,niska,Unosić tylko kilka centymetrów,"Przyjmij pozycję wyjściową: leżąca na brzuchu. Następnie wykonuj ruch główny: unoszenie ramienia i przeciwległej nogi. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Unosić tylko kilka centymetrów. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie biodra w bok,Side Hip Raises,Best-Mobility-Exercises-for-Seniors.pdf,siła_mobilność,łatwy,stojąca,krzesło,10 na stronę,,"biodra, pośladki",unoszenie biodra bokiem,tak,nie,nie,tak,nie,słabe biodra,,wzmocnienie bioder i poprawa mobilności,niski,wysoki,niski,niski,niski,niska,Palce skierowane prosto do przodu,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: unoszenie biodra bokiem. Wykonaj około 10 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Palce skierowane prosto do przodu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nóg w siadzie,Seated Leg Lifts,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło,,,nogi (czworogłowy),prostowanie nogi w siadzie,tak,nie,tak,nie,nie,ból kolan; słabe nogi,,wzmocnienie ud,niski,wysoki,niski,niski,niski,niska,Trzymać 5 sekund w górze,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: prostowanie nogi w siadzie. Zwróć uwagę na bezpieczeństwo: Trzymać 5 sekund w górze. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Podpór na łokciach (deska),Bent Arm Plank,Best-Mobility-Exercises-for-Seniors.pdf,siła_postura,średni,leżąca na brzuchu,brak,,,tułów i core,izometryczne utrzymanie pozycji,nie,nie,nie,nie,tak,słaby core; ból pleców,osteoporoza kręgosłupa – ostrożność,wzmocnienie core i stabilizacja,niski,wysoki,niski,niski,wysoki,niska,Plecy proste jak deska,"Przyjmij pozycję wyjściową: leżąca na brzuchu. Następnie wykonuj ruch główny: izometryczne utrzymanie pozycji. Zwróć uwagę na bezpieczeństwo: Plecy proste jak deska. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nogi na piłce,Stability Ball Leg Lift,Best-Mobility-Exercises-for-Seniors.pdf,siła_równowaga,średni,siedząca na piłce,piłka gimnastyczna,8-15 na nogę,,"biodra, uda",unoszenie nogi na piłce,nie,nie,tak,nie,nie,ból kolan,,równowaga i siła nóg,wysoki,wysoki,niski,niski,niski,niska,Stopy bliżej = trudniej,"Przyjmij pozycję wyjściową: siedząca na piłce. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: unoszenie nogi na piłce. Wykonaj około 8-15 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Stopy bliżej = trudniej. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
